region,crop,year_start,split
Victoria,Canola,2016,validation
Victoria,Lupins,2013,validation
Victoria,Lupins,2014,validation
Victoria,Lupins,2015,validation
Victoria,Lupins,2016,validation
Victoria,Oats,2013,validation
Victoria,Oats,2014,validation
Victoria,Oats,2015,validation
Victoria,Oats,2016,validation
Victoria,Wheat,2013,validation
Victoria,Wheat,2014,validation
Victoria,Wheat,2015,validation
Victoria,Wheat,2016,validation
Western Australia,Barley,2013,validation
Western Australia,Barley,2014,validation
Western Australia,Barley,2015,validation
Western Australia,Barley,2016,validation
Western Australia,Canola,2013,validation
Western Australia,Canola,2014,validation
Western Australia,Canola,2015,validation
Western Australia,Canola,2016,validation
Western Australia,Lupins,2013,validation
Western Australia,Lupins,2014,validation
Western Australia,Lupins,2015,validation
Western Australia,Lupins,2016,validation
Western Australia,Oats,2013,validation
Western Australia,Oats,2014,validation
Western Australia,Oats,2015,validation
Western Australia,Oats,2016,validation
Western Australia,Wheat,2013,validation
Western Australia,Wheat,2014,validation
Western Australia,Wheat,2015,validation
Western Australia,Wheat,2016,validation
